Graph,n,m,minDeg,maxDeg,Time,Heuristics,variable,value
"IE~~~~~~w
",10,41,2,9,0.0036580562591552734,1,RandomSolvable,0.0
"IFz~~~~~w
",10,41,7,9,0.002012491226196289,0,RandomSolvable,0.0
"IQ~~~~~~w
",10,41,7,9,0.0005927085876464844,0,RandomSolvable,0.0
"ITn~~~~~w
",10,41,9,9,0.010676383972167969,1,RandomSolvable,0.0
"ITz~~~~~w
",10,41,6,9,0.0006885528564453125,0,RandomSolvable,0.0
"IUz~~~~~w
",10,41,7,9,0.0006296634674072266,0,RandomSolvable,0.0
"IU~v~~~~w
",10,41,3,9,0.003398895263671875,1,RandomSolvable,0.0
"I]y~~~~~w
",10,41,21,9,0.01655864715576172,1,RandomSolvable,0.0
"I]zn~~~~w
",10,41,6,9,0.007766246795654297,1,RandomSolvable,0.0
"I]~vv~~~w
",10,41,7,9,0.0011603832244873047,0,RandomSolvable,0.0
"I]~v~z~~w
",10,41,1,9,0.001967191696166992,1,RandomSolvable,0.0
"IE~~~~~~w
",10,41,2,9,0.0036580562591552734,1,LocalSolvable,0.0
"IFz~~~~~w
",10,41,7,9,0.002012491226196289,0,LocalSolvable,1.0
"IQ~~~~~~w
",10,41,7,9,0.0005927085876464844,0,LocalSolvable,1.0
"ITn~~~~~w
",10,41,9,9,0.010676383972167969,1,LocalSolvable,0.0
"ITz~~~~~w
",10,41,6,9,0.0006885528564453125,0,LocalSolvable,1.0
"IUz~~~~~w
",10,41,7,9,0.0006296634674072266,0,LocalSolvable,1.0
"IU~v~~~~w
",10,41,3,9,0.003398895263671875,1,LocalSolvable,0.0
"I]y~~~~~w
",10,41,21,9,0.01655864715576172,1,LocalSolvable,0.0
"I]zn~~~~w
",10,41,6,9,0.007766246795654297,1,LocalSolvable,0.0
"I]~vv~~~w
",10,41,7,9,0.0011603832244873047,0,LocalSolvable,1.0
"I]~v~z~~w
",10,41,1,9,0.001967191696166992,1,LocalSolvable,0.0
"IE~~~~~~w
",10,41,2,9,0.0036580562591552734,1,RecursiveSolvable,1.0
"IFz~~~~~w
",10,41,7,9,0.002012491226196289,0,RecursiveSolvable,0.0
"IQ~~~~~~w
",10,41,7,9,0.0005927085876464844,0,RecursiveSolvable,0.0
"ITn~~~~~w
",10,41,9,9,0.010676383972167969,1,RecursiveSolvable,1.0
"ITz~~~~~w
",10,41,6,9,0.0006885528564453125,0,RecursiveSolvable,0.0
"IUz~~~~~w
",10,41,7,9,0.0006296634674072266,0,RecursiveSolvable,0.0
"IU~v~~~~w
",10,41,3,9,0.003398895263671875,1,RecursiveSolvable,1.0
"I]y~~~~~w
",10,41,21,9,0.01655864715576172,1,RecursiveSolvable,1.0
"I]zn~~~~w
",10,41,6,9,0.007766246795654297,1,RecursiveSolvable,1.0
"I]~vv~~~w
",10,41,7,9,0.0011603832244873047,0,RecursiveSolvable,0.0
"I]~v~z~~w
",10,41,1,9,0.001967191696166992,1,RecursiveSolvable,1.0
"IE~~~~~~w
",10,41,2,9,0.0036580562591552734,1,RecursiveDepth,2.0
"IFz~~~~~w
",10,41,7,9,0.002012491226196289,0,RecursiveDepth,
"IQ~~~~~~w
",10,41,7,9,0.0005927085876464844,0,RecursiveDepth,
"ITn~~~~~w
",10,41,9,9,0.010676383972167969,1,RecursiveDepth,9.0
"ITz~~~~~w
",10,41,6,9,0.0006885528564453125,0,RecursiveDepth,
"IUz~~~~~w
",10,41,7,9,0.0006296634674072266,0,RecursiveDepth,
"IU~v~~~~w
",10,41,3,9,0.003398895263671875,1,RecursiveDepth,3.0
"I]y~~~~~w
",10,41,21,9,0.01655864715576172,1,RecursiveDepth,21.0
"I]zn~~~~w
",10,41,6,9,0.007766246795654297,1,RecursiveDepth,6.0
"I]~vv~~~w
",10,41,7,9,0.0011603832244873047,0,RecursiveDepth,
"I]~v~z~~w
",10,41,1,9,0.001967191696166992,1,RecursiveDepth,1.0
